X	Y
-7.082862198	55.10509435
-7.008649452	55.1602711
-7.008649428	55.16027112
-7.008649404	55.16027114
-6.987708058	55.18094208
-6.976979478	55.19501735
-6.975105327	55.19632769
-6.970588702	55.1994856
-6.965423452	55.20127235
-6.962330414	55.20088159
-6.957973006	55.20033118
-6.95313229	55.19901591
-6.951554953	55.19858734
-6.9515549	55.19858733
-6.951554849	55.1985873
-6.932466664	55.1914974
-6.874759995	55.20393441
-6.873353795	55.20423397
-6.871066452	55.20472135
-6.860184331	55.20761026
-6.856008387	55.20871891
-6.834082551	55.21914944
-6.820995652	55.22685321
-6.813219745	55.2313971
-6.811107699	55.23247078
-6.807381952	55.23436485
-6.807186596	55.23448609
-6.806991239	55.23460732
-6.805908304	55.23613934
-6.805616028	55.23654578
-6.80554699	55.23664181
-6.788416951	55.26024192
-6.783254993	55.2673533
-6.783254955	55.26735335
-6.783219631	55.26741029
-6.783148948	55.26752422
-6.782561202	55.2684716
-6.777084756	55.28696521
-6.773269243	55.29985016
-6.760107731	55.34511583
-6.735964042	55.40657744
-6.734604473	55.40963458
-6.733723452	55.41161585
-6.726916954	55.42758078
-6.72076279	55.44201582
-6.720012927	55.45667277
-6.720013113	55.45667285
-6.720013452	55.45667285
-6.720046739	55.45668614
-6.720046736	55.4566862
-6.72004776	55.45668654
-6.720147452	55.45672635
-6.727060822	55.45902279
-6.730000019	55.45999908
-6.795000553	55.48333359
-6.8	55.48809107
-6.8	55.5
-6.812514607	55.5
-6.85	55.53567118
-6.85	55.58333333
-6.900143317	55.58333333
-6.95	55.62928053
-6.95	55.66666667
-6.991290449	55.66666667
-7.010910578	55.683105
-7.033333333	55.70189139
-7.033333333	55.75
-7.103017259	55.75
-7.133333333	55.77003084
-7.133333333	55.83333333
-7.25	55.83333333
-7.25	55.91666667
-7.383333333	55.91666667
-7.383333333	56
-8.216666667	56
-8.216666667	56.08333333
-8.625203831	56.08333333
-8.658333333	56.08980745
-8.658333333	56.16666667
-9.116666667	56.16666667
-9.116666667	56.35833333
-9.131249966	56.33333336
-9.133333299	56.33014187
-9.141558407	56.3166667
-9.149999966	56.30462966
-9.153012014	56.30000003
-9.166666633	56.28425929
-9.167460283	56.28333336
-9.183333299	56.26687246
-9.183492029	56.2666667
-9.191798908	56.25000003
-9.191025607	56.23333336
-9.189659333	56.2166667
-9.188993677	56.20000003
-9.193859615	56.18333336
-9.199999966	56.17452833
-9.204844927	56.1666667
-9.214957231	56.15000003
-9.216666633	56.14259262
-9.218183163	56.13333336
-9.217592558	56.1166667
-9.216666633	56.11422767
-9.207828249	56.10000003
-9.199999966	56.08769844
-9.195634886	56.08333336
-9.189772693	56.0666667
-9.193253934	56.05000003
-9.199999966	56.04086024
-9.204761871	56.03333336
-9.216666633	56.0206522
-9.220061694	56.0166667
-9.233333299	56.00288464
-9.235445975	56.00000003
-9.24378106	55.98333336
-9.243034792	55.9666667
-9.240740707	55.95000003
-9.245282985	55.93333336
-9.249999966	55.92675442
-9.254914496	55.9166667
-9.266176436	55.90000003
-9.266666633	55.89943506
-9.281060572	55.88333336
-9.283333299	55.88106064
-9.29890707	55.8666667
-9.299999966	55.86564105
-9.315404006	55.85000003
-9.316666633	55.84836604
-9.326249966	55.83333336
-9.333333299	55.8191667
-9.334583299	55.8166667
-9.338744555	55.80000003
-9.341999966	55.78333336
-9.349206315	55.7666667
-9.349999966	55.76500003
-9.355357109	55.75000003
-9.354861077	55.73333336
-9.352051248	55.7166667
-9.349999966	55.70555558
-9.34880949	55.70000003
-9.347988472	55.68333336
-9.349999966	55.6782609
-9.355128171	55.6666667
-9.366666633	55.65238098
-9.368518484	55.65000003
-9.383333299	55.63840583
-9.390780108	55.63333336
-9.399999966	55.6266667
-9.416666633	55.61779282
-9.419047585	55.6166667
-9.433333299	55.60476193
-9.442424208	55.60000003
-9.449999966	55.59333336
-9.460869531	55.58333336
-9.466666633	55.5766667
-9.472727239	55.5666667
-9.483333299	55.5566667
-9.492666633	55.55000003
-9.499999966	55.54726371
-9.516666633	55.53947371
-9.528632445	55.53333336
-9.533333299	55.53059704
-9.549999966	55.52000003
-9.556565622	55.5166667
-9.566666633	55.51137569
-9.583333299	55.50196081
-9.586936903	55.50000003
-9.599999966	55.49232807
-9.616666633	55.48455885
-9.620634887	55.48333336
-9.633333299	55.47881359
-9.649999966	55.47526885
-9.666666633	55.47545457
-9.683333299	55.47484851
-9.699999966	55.47515726
-9.716666633	55.47283954
-9.733333299	55.46761908
-9.735802435	55.4666667
-9.749999966	55.459697
-9.766666633	55.45026045
-9.76705423	55.45000003
-9.783333299	55.43793106
-9.789682506	55.43333336
-9.799999966	55.42545457
-9.816111077	55.4166667
-9.816666633	55.41620373
-9.833333299	55.40030306
-9.833749966	55.40000003
-9.849999966	55.38796299
-9.85694441	55.38333336
-9.866666633	55.37555558
-9.881481447	55.3666667
-9.883333299	55.36550391
-9.899999966	55.35333336
-9.90428568	55.35000003
-9.916666633	55.33725493
-9.920588201	55.33333336
-9.933333299	55.32095241
-9.937499966	55.3166667
-9.949999966	55.30215057
-9.95136051	55.30000003
-9.963725456	55.28333336
-9.966666633	55.27898554
-9.972962929	55.2666667
-9.982857109	55.25000003
-9.983333299	55.24930558
-9.99369366	55.23333336
-9.997348451	55.2166667
-9.998780454	55.20000003
-9.999999966	55.19583336
-10.00405402	55.18333336
-10.01666663	55.17136755
-10.02463765	55.1666667
-10.0333333	55.15757579
-10.03615816	55.15000003
-10.04826385	55.13333336
-10.04999997	55.13176104
-10.06666663	55.12134834
-10.0833333	55.11801805
-10.08717945	55.1166667
-10.09999997	55.11120221
-10.11666663	55.10478039
-10.12315786	55.10000003
-10.1333333	55.08982459
-10.14113921	55.08333336
-10.14999997	55.06960787
-10.15272724	55.0666667
-10.16184207	55.05000003
-10.16666663	55.04444447
-10.17539679	55.03333336
-10.1833333	55.0214286
-10.18749997	55.0166667
-10.19999997	55.00833336
-10.21052628	55.00000003
-10.21666663	54.99567904
-10.2333333	54.98582378
-10.23688521	54.98333336
-10.24999997	54.97280705
-10.25466663	54.9666667
-10.26666663	54.95501621
-10.27228257	54.95000003
-10.2833333	54.93857681
-10.28799997	54.93333336
-10.29999997	54.91985022
-10.30304656	54.9166667
-10.31666663	54.90412544
-10.32222219	54.90000003
-10.3333333	54.89190941
-10.34999997	54.88357846
-10.35040157	54.88333336
-10.36581918	54.8666667
-10.36666663	54.86544718
-10.37758617	54.85000003
-10.3833333	54.8447917
-10.39999997	54.83429955
-10.40148145	54.83333336
-10.41666663	54.8224868
-10.42414963	54.8166667
-10.4333333	54.80512823
-10.43821135	54.80000003
-10.44999997	54.7865741
-10.45307014	54.78333336
-10.46666663	54.77103177
-10.4708333	54.7666667
-10.4833333	54.75325206
-10.48605439	54.75000003
-10.49999997	54.73779765
-10.50446425	54.73333336
-10.51666663	54.72297983
-10.52410711	54.7166667
-10.5333333	54.70633336
-10.54105688	54.70000003
-10.54999997	54.69185188
-10.5641975	54.68333336
-10.56666663	54.68212124
-10.5833333	54.67415462
-10.59999997	54.66777781
-10.60252522	54.6666667
-10.61666663	54.65786166
-10.6270833	54.65000003
-10.6333333	54.64264709
-10.64292926	54.63333336
-10.64999997	54.62361114
-10.6587719	54.6166667
-10.66666663	54.60984851
-10.6833333	54.6000573
-10.68343077	54.60000003
-10.69999997	54.58819447
-10.71060603	54.58333336
-10.71666663	54.58086423
-10.7333333	54.57824077
-10.74999997	54.57608699
-10.76666663	54.57333336
-10.7833333	54.56875003
-10.78782048	54.5666667
-10.79999997	54.55854704
-10.81449272	54.55000003
-10.81666663	54.54687503
-10.82608692	54.53333336
-10.8302083	54.5166667
-10.83124985	54.50000191
-8.269170761	54.50000191
-8.269170761	54.50000191
-8.255699158	54.51270104
-8.275999069	54.52499962
-8.214799881	54.54870033
-8.232999802	54.5659008
-8.169698715	54.59970284
-8.187799454	54.62059975
-8.210899353	54.62310219
-8.15309906	54.62700081
-8.145399094	54.60199928
-8.113498688	54.65200234
-8.157699585	54.63360024
-8.164899826	54.64760017
-8.296199799	54.60130119
-8.301898956	54.60920143
-8.274999619	54.63559914
-8.29529953	54.64389992
-8.461698532	54.56649971
-8.446699142	54.58749962
-8.377599716	54.61340141
-8.387399673	54.63530159
-8.4375	54.61720085
-8.428199768	54.6480999
