X	Y
-5.326499939	55.76460075
-5.31539917	55.78300285
-5.339599609	55.82589912
-5.38189888	55.8621006
-5.412698746	55.86459923
-5.3939991	55.87050057
-5.418600082	55.89590263
-5.429100037	55.94980049
-5.448999405	55.97139931
-5.442098618	56.03420067
-5.404798508	56.00130272
-5.346599579	56.02190208
-5.329299927	56.0578022
-5.336198807	56.06860161
-5.309398651	56.06070137
-5.285400391	56.08939934
-5.258899689	56.09460259
-5.243999481	56.12270165
-5.113300323	56.17130089
-5.10379982	56.19790077
-5.0522995	56.24550057
-5.036998749	56.23330116
-4.920598984	56.27029991
-5.058898926	56.20820046
-5.078800201	56.16780281
-5.102399826	56.15440178
-5.203899384	56.1264019
-5.205598831	56.10440254
-5.285598755	56.05480003
-5.301599503	56.02470207
-5.334899902	56.00449944
-5.346698761	55.97250176
-5.327999115	55.95280266
-5.350700378	55.89769936
-5.310798645	55.87280083
-5.311800003	55.85140038
-5.256500244	55.85080147
-5.20459938	55.82620049
-5.20759964	55.85470009
-5.240999222	55.894701
-5.206798553	55.91940117
-5.189199448	55.98410225
-5.191598892	55.94740105
-5.179498672	55.93460274
-5.112199783	55.90279961
-5.073200226	55.90180016
-5.083799362	55.94120216
-5.118299484	55.97380257
-5.129199982	55.99950218
-5.120800018	56.01059914
-5.105899811	55.97330284
-5.069999695	55.95340157
-5.043998718	55.87210274
-4.980199814	55.86310005
-4.907299042	55.96910286
-4.964698792	55.99230003
-4.958398819	56.00309944
-4.894800186	55.98750114
-4.915100098	56.0517025
-4.875299454	56.09140205
-4.908899307	56.11200142
-4.898399353	56.14620018
-4.917499542	56.16330147
-4.900299072	56.16930199
-4.88189888	56.14230156
-4.886299133	56.10980034
-4.862600327	56.0999012
-4.792598724	56.18330193
-4.747900009	56.20560265
-4.88189888	56.0598011
-4.852100372	55.98890114
-4.766698837	55.99020195
-4.83549881	56.04920006
-4.829399109	56.07859993
-4.785499573	56.01339912
-4.69960022	55.99170113
-4.686698914	55.97570229
-4.702798843	55.96759987
-4.464199066	55.92350197
-4.694198608	55.9382
-4.793899536	55.96260262
-4.879199982	55.94210243
-4.882900238	55.91330147
-4.872900009	55.90889931
-4.900098801	55.8900013
-4.889200211	55.82069969
-4.854999542	55.75930214
-4.882099152	55.75169945
-4.869400024	55.74370003
-4.901100159	55.72390175
-4.905698776	55.69759941
-4.834899902	55.66259956
-4.817798615	55.63570213
-4.753000259	55.63030052
-4.696399689	55.60670281
-4.712598801	55.63459969
-4.686498642	55.60920143
-4.682199478	55.62380028
-4.67939949	55.61039925
-4.695400238	55.60460091
-4.657299042	55.55920219
-4.661600113	55.54780006
-4.688499451	55.54750252
-4.629598618	55.51540184
-4.621999741	55.49200249
-4.650999069	55.44080162
-4.730798721	55.4260006
-4.768299103	55.40080071
-4.773698807	55.35980034
-4.845199585	55.32259941
-4.834899902	55.28389931
-4.86579895	55.2215023
-4.997200012	55.14019966
-5.007799149	55.09520149
-5.061100006	55.02639961
-4.994098663	54.91530037
-5.027198792	54.90760231
-5.062398911	54.92390251
-5.073699951	54.96370125
-5.057100296	54.96570015
-5.09569931	55.01609993
-5.167629242	55.00000191
-5.981323242	55.00000191
-5.960998535	55.04940224
-6.051799774	55.06229973
-6.023099899	55.15410042
-6.059900284	55.19669914
-6.141799927	55.22559929
-6.230499268	55.20369911
-6.330499649	55.23760033
-6.403900146	55.23010063
-6.47069931	55.25060082
-6.548000336	55.21420097
-6.664400101	55.20950127
-6.662799835	55.19799995
-6.720100403	55.18770027
-6.734199524	55.16840172
-6.879299164	55.166502
-6.965799332	55.19479942
-6.960998535	55.16980171
-6.988399506	55.10880089
-7.017499924	55.10009956
-7.012899399	55.07489967
-7.042999268	55.05069923
-7.132299423	55.04030037
-7.148799896	55.05590248
-7.226699829	55.05760002
-7.250900269	55.04260063
-7.257799149	55.06680107
-7.082862198	55.10509435
-7.008649452	55.1602711
-7.008649428	55.16027112
-7.008649404	55.16027114
-6.987708058	55.18094208
-6.976979478	55.19501735
-6.975105327	55.19632769
-6.970588702	55.1994856
-6.965423452	55.20127235
-6.962330414	55.20088159
-6.957973006	55.20033118
-6.95313229	55.19901591
-6.951554953	55.19858734
-6.9515549	55.19858733
-6.951554849	55.1985873
-6.932466664	55.1914974
-6.874759995	55.20393441
-6.873353795	55.20423397
-6.871066452	55.20472135
-6.860184331	55.20761026
-6.856008387	55.20871891
-6.834082551	55.21914944
-6.820995652	55.22685321
-6.813219745	55.2313971
-6.811107699	55.23247078
-6.807381952	55.23436485
-6.807186596	55.23448609
-6.806991239	55.23460732
-6.805908304	55.23613934
-6.805616028	55.23654578
-6.80554699	55.23664181
-6.788416951	55.26024192
-6.783254993	55.2673533
-6.783254955	55.26735335
-6.783219631	55.26741029
-6.783148948	55.26752422
-6.782561202	55.2684716
-6.777084756	55.28696521
-6.773269243	55.29985016
-6.760107731	55.34511583
-6.735964042	55.40657744
-6.734604473	55.40963458
-6.733723452	55.41161585
-6.726916954	55.42758078
-6.72076279	55.44201582
-6.720012927	55.45667277
-6.720013113	55.45667285
-6.720013452	55.45667285
-6.720046739	55.45668614
-6.720046736	55.4566862
-6.72004776	55.45668654
-6.720147452	55.45672635
-6.727060822	55.45902279
-6.730000019	55.45999908
-6.795000553	55.48333359
-6.8	55.48809107
-6.8	55.5
-6.812514607	55.5
-6.85	55.53567118
-6.85	55.58333333
-6.900143317	55.58333333
-6.95	55.62928053
-6.95	55.66666667
-6.991290449	55.66666667
-7.010910578	55.683105
-7.033333333	55.70189139
-7.033333333	55.75
-7.103017259	55.75
-7.133333333	55.77003084
-7.133333333	55.83333333
-7.25	55.83333333
-7.25	55.91666667
-7.383333333	55.91666667
-7.383333333	56
-8.216666667	56
-8.216666667	56.08333333
-8.625203831	56.08333333
-8.658333333	56.08980745
-8.658333333	56.16666667
-9.116666667	56.16666667
-9.116666667	56.35833333
-9.116666632	56.36096494
-9.11385278	56.3666667
-9.106666632	56.38333336
-9.099999966	56.39682543
-9.098222188	56.40000003
-9.088095204	56.4166667
-9.083333299	56.42400003
-9.076570014	56.43333336
-9.066688825	56.45000003
-9.066666632	56.45004891
-9.058333299	56.4666667
-9.05404037	56.48333336
-9.055729132	56.50000003
-9.060277744	56.5166667
-9.063945544	56.53333336
-9.066666632	56.5466667
-9.067375852	56.55000003
-9.06944441	56.5666667
-9.066666632	56.57777781
-9.065384581	56.58333336
-9.053448242	56.60000003
-9.049999966	56.60357146
-9.038172009	56.6166667
-9.033333299	56.62158473
-9.022636782	56.63333336
-9.016666632	56.64011302
-9.008212526	56.65000003
-8.999999966	56.66133336
-8.995628381	56.6666667
-8.984946202	56.68333336
-8.983333299	56.69444447
-8.982564068	56.70000003
-8.983333299	56.70714289
-8.984177181	56.7166667
-8.987719264	56.73333336
-8.994607809	56.75000003
-8.999999966	56.75814818
-9.005251107	56.7666667
-9.016666632	56.77989421
-9.019409249	56.78333336
-9.033333299	56.79904765
-9.034050145	56.80000003
-9.04444441	56.8166667
-9.049999966	56.82926832
-9.051516496	56.83333336
-9.056825363	56.85000003
-9.06173466	56.8666667
-9.066489328	56.88333336
-9.066666632	56.88412701
-9.069871761	56.90000003
-9.075568148	56.9166667
-9.083333299	56.92577781
-9.090888855	56.93333336
-9.099999966	56.94045142
-9.114322882	56.95000003
-9.116666632	56.95277781
-9.124166632	56.9666667
-9.133333299	56.98303574
-9.133479498	56.98333336
-9.145604361	57.00000003
-9.149999966	57.00533336
-9.158762852	57.0166667
-9.166666633	57.02903229
-9.170222188	57.03333336
-9.183333299	57.04758457
-9.186601273	57.05000003
-9.199999966	57.06242427
-9.204487145	57.0666667
-9.216666633	57.08250003
-9.217499966	57.08333336
-9.233333299	57.09740744
-9.236249966	57.10000003
-9.249999966	57.11571432
-9.250584761	57.1166667
-9.25961535	57.13333336
-9.266666633	57.14516132
-9.268905438	57.15000003
-9.276553638	57.1666667
-9.283333299	57.1804598
-9.284821394	57.18333336
-9.295185151	57.20000003
-9.299999966	57.20773812
-9.305952347	57.2166667
-9.314912247	57.23333336
-9.316666633	57.23725493
-9.323888855	57.25000003
-9.333333299	57.25977014
-9.339393905	57.2666667
-9.349999966	57.28125003
-9.351282017	57.28333336
-9.35694441	57.30000003
